Codigo,Espacialidades,IDHM_2010,IDHM_Renda_2010,IDHM_Longevidade_2010,IDHM_Educacao_2010
3137205,Lagoa da Prata,"0,732","0,72","0,832","0,655"
2508208,Lagoa de Dentro,"0,57","0,539","0,772","0,444"
2608503,Lagoa de Itaenga,"0,602","0,555","0,774","0,509"
2406304,Lagoa de Pedras,"0,553","0,529","0,734","0,436"
2205573,Lagoa de São Francisco,"0,529","0,499","0,743","0,4"
2406403,Lagoa de Velhos,"0,589","0,566","0,789","0,458"
2205565,Lagoa do Barro do Piauí,"0,502","0,474","0,744","0,358"
2608453,Lagoa do Carro,"0,609","0,566","0,789","0,505"
2105922,Lagoa do Mato,"0,566","0,525","0,726","0,475"
2608602,Lagoa do Ouro,"0,525","0,536","0,733","0,369"
2205581,Lagoa do Piauí,"0,583","0,548","0,778","0,464"
2608701,Lagoa dos Gatos,"0,551","0,555","0,725","0,416"
2205599,Lagoa do Sítio,"0,541","0,504","0,745","0,421"
3137304,Lagoa dos Patos,"0,634","0,593","0,773","0,556"
4311270,Lagoa dos Três Cantos,"0,789","0,765","0,852","0,754"
1711951,Lagoa do Tocantins,"0,579","0,543","0,758","0,471"
3137403,Lagoa Dourada,"0,676","0,672","0,828","0,554"
3137502,Lagoa Formosa,"0,703","0,717","0,832","0,582"
2608750,Lagoa Grande,"0,597","0,581","0,705","0,52"
3137536,Lagoa Grande,"0,679","0,678","0,812","0,568"
2105963,Lagoa Grande do Maranhão,"0,502","0,48","0,731","0,36"
2406502,Lagoa Nova,"0,585","0,542","0,764","0,483"
4311254,Lagoão,"0,643","0,641","0,822","0,505"
2918753,Lagoa Real,"0,545","0,535","0,764","0,395"
2406601,Lagoa Salgada,"0,582","0,551","0,771","0,464"
3137601,Lagoa Santa,"0,777","0,79","0,857","0,693"
5212253,Lagoa Santa,"0,74","0,733","0,868","0,638"
2508307,Lagoa Seca,"0,627","0,621","0,769","0,516"
4311304,Lagoa Vermelha,"0,738","0,734","0,885","0,62"
2105708,Lago da Pedra,"0,589","0,561","0,724","0,502"
2105807,Lago do Junco,"0,581","0,537","0,741","0,492"
2105948,Lago dos Rodrigues,"0,602","0,555","0,737","0,534"
3526308,Lagoinha,"0,693","0,686","0,797","0,609"
2205540,Lagoinha do Piauí,"0,597","0,561","0,776","0,488"
2105906,Lago Verde,"0,557","0,508","0,731","0,466"
4209409,Laguna,"0,752","0,715","0,871","0,682"
5005251,Laguna Carapã,"0,672","0,676","0,822","0,545"
2918803,Laje,"0,586","0,548","0,764","0,48"
1712009,Lajeado,"0,675","0,673","0,798","0,573"
4311403,Lajeado,"0,778","0,796","0,84","0,704"
4311429,Lajeado do Bugre,"0,613","0,604","0,822","0,465"
4209458,Lajeado Grande,"0,771","0,75","0,858","0,712"
2105989,Lajeado Novo,"0,589","0,561","0,738","0,494"
2918902,Lajedão,"0,632","0,652","0,778","0,497"
2919009,Lajedinho,"0,546","0,522","0,753","0,413"
2608800,Lajedo,"0,611","0,599","0,758","0,503"
2919058,Lajedo do Tabocal,"0,584","0,545","0,764","0,479"
3302304,Laje do Muriaé,"0,668","0,649","0,8","0,575"
2406700,Lajes,"0,624","0,578","0,756","0,557"
2406809,Lajes Pintadas,"0,625","0,559","0,769","0,568"
3137700,Lajinha,"0,661","0,659","0,81","0,541"
2919108,Lamarão,"0,518","0,501","0,747","0,372"
3137809,Lambari,"0,711","0,693","0,871","0,596"
5105234,Lambari D'Oeste,"0,627","0,67","0,787","0,467"
3137908,Lamim,"0,655","0,623","0,828","0,546"
2205607,Landri Sales,"0,584","0,563","0,738","0,48"
4113205,Lapa,"0,706","0,696","0,848","0,595"
2919157,Lapão,"0,596","0,55","0,755","0,51"
3203163,Laranja da Terra,"0,656","0,633","0,81","0,55"
3138005,Laranjal,"0,714","0,694","0,857","0,613"
4113254,Laranjal,"0,585","0,581","0,79","0,436"
1600279,Laranjal do Jari,"0,665","0,641","0,801","0,573"
3526407,Laranjal Paulista,"0,729","0,732","0,829","0,639"
2803609,Laranjeiras,"0,642","0,589","0,772","0,582"
4113304,Laranjeiras do Sul,"0,706","0,709","0,835","0,594"
3138104,Lassance,"0,629","0,614","0,795","0,511"
2508406,Lastro,"0,533","0,532","0,747","0,38"
4209508,Laurentino,"0,749","0,742","0,855","0,662"
2919207,Lauro de Freitas,"0,754","0,781","0,827","0,663"
4209607,Lauro Muller,"0,735","0,714","0,822","0,677"
1712157,Lavandeira,"0,66","0,598","0,775","0,62"
3526506,Lavínia,"0,721","0,698","0,82","0,655"
3138203,Lavras,"0,782","0,757","0,88","0,719"
2307502,Lavras da Mangabeira,"0,613","0,576","0,778","0,515"
4311502,Lavras do Sul,"0,699","0,683","0,868","0,577"
3526605,Lavrinhas,"0,729","0,665","0,823","0,707"
3138302,Leandro Ferreira,"0,71","0,707","0,875","0,579"
4209706,Lebon Régis,"0,649","0,632","0,806","0,537"
3526704,Leme,"0,744","0,729","0,851","0,665"
3138351,Leme do Prado,"0,67","0,602","0,779","0,64"
2919306,Lençóis,"0,623","0,613","0,775","0,51"
3526803,Lençóis Paulista,"0,764","0,743","0,837","0,717"
4209805,Leoberto Leal,"0,686","0,74","0,818","0,533"
3138401,Leopoldina,"0,726","0,696","0,867","0,635"
5212303,Leopoldo de Bulhões,"0,659","0,665","0,812","0,529"
4113403,Leópolis,"0,707","0,657","0,812","0,663"
4311601,Liberato Salzano,"0,685","0,68","0,81","0,583"
3138500,Liberdade,"0,672","0,679","0,834","0,537"
2919405,Licínio de Almeida,"0,621","0,582","0,775","0,531"
4113429,Lidianópolis,"0,68","0,657","0,802","0,598"
2106003,Lima Campos,"0,581","0,578","0,705","0,481"
3138609,Lima Duarte,"0,71","0,705","0,861","0,59"
3526902,Limeira,"0,775","0,761","0,852","0,719"
3138625,Limeira do Oeste,"0,71","0,693","0,834","0,62"
2608909,Limoeiro,"0,663","0,628","0,797","0,583"
2704203,Limoeiro de Anadia,"0,58","0,575","0,742","0,457"
1504000,Limoeiro do Ajuru,"0,541","0,493","0,754","0,425"
2307601,Limoeiro do Norte,"0,682","0,633","0,804","0,623"
4113452,Lindoeste,"0,666","0,652","0,769","0,588"
3527009,Lindóia,"0,742","0,722","0,864","0,654"
4209854,Lindóia do Sul,"0,743","0,747","0,865","0,636"
4311627,Lindolfo Collor,"0,712","0,712","0,842","0,601"
4311643,Linha Nova,"0,749","0,751","0,846","0,662"
3203205,Linhares,"0,724","0,721","0,834","0,63"
3527108,Lins,"0,786","0,762","0,869","0,733"
2508505,Livramento,"0,566","0,523","0,732","0,473"
2919504,Livramento de Nossa Senhora,"0,611","0,587","0,793","0,491"
1712405,Lizarda,"0,57","0,584","0,765","0,415"
4113502,Loanda,"0,725","0,724","0,815","0,645"
4113601,Lobato,"0,744","0,708","0,841","0,692"
2508554,Logradouro,"0,583","0,544","0,776","0,47"
4113700,Londrina,"0,778","0,789","0,837","0,712"
3138658,Lontra,"0,646","0,589","0,794","0,577"
4209904,Lontras,"0,704","0,735","0,82","0,579"
3527207,Lorena,"0,766","0,736","0,856","0,713"
2106102,Loreto,"0,582","0,516","0,771","0,495"
3527256,Lourdes,"0,742","0,697","0,816","0,717"
3527306,Louveira,"0,777","0,783","0,861","0,697"
5105259,Lucas do Rio Verde,"0,768","0,766","0,833","0,71"
3527405,Lucélia,"0,752","0,728","0,841","0,695"
2508604,Lucena,"0,583","0,577","0,734","0,469"
3527504,Lucianópolis,"0,733","0,736","0,809","0,662"
5105309,Luciara,"0,676","0,617","0,788","0,634"
2406908,Lucrécia,"0,646","0,624","0,785","0,551"
3527603,Luís Antônio,"0,731","0,709","0,822","0,671"
3138674,Luisburgo,"0,608","0,61","0,809","0,455"
2205706,Luís Correia,"0,541","0,544","0,73","0,398"
2106201,Luís Domingues,"0,588","0,541","0,734","0,512"
2919553,Luís Eduardo Magalhães,"0,716","0,754","0,826","0,59"
2407005,Luís Gomes,"0,608","0,545","0,776","0,531"
3138682,Luislândia,"0,614","0,568","0,799","0,509"
4210001,Luiz Alves,"0,737","0,766","0,87","0,6"
4113734,Luiziana,"0,668","0,659","0,781","0,58"
3527702,Luiziânia,"0,702","0,682","0,815","0,623"
3138708,Luminárias,"0,678","0,656","0,821","0,578"
4113759,Lunardelli,"0,69","0,655","0,826","0,607"
3527801,Lupércio,"0,724","0,679","0,83","0,674"
4113809,Lupionópolis,"0,71","0,703","0,856","0,595"
3527900,Lutécia,"0,72","0,67","0,846","0,659"
3138807,Luz,"0,724","0,723","0,833","0,63"
4210035,Luzerna,"0,789","0,781","0,877","0,718"
5212501,Luziânia,"0,701","0,689","0,831","0,602"
2205805,Luzilândia,"0,545","0,55","0,7","0,42"
1712454,Luzinópolis,"0,639","0,593","0,726","0,605"
3302403,Macaé,"0,764","0,792","0,828","0,681"
2407104,Macaíba,"0,64","0,613","0,784","0,545"
2919603,Macajuba,"0,524","0,515","0,78","0,358"
4311718,Maçambará,"0,684","0,664","0,832","0,58"
2803708,Macambira,"0,583","0,573","0,728","0,474"
1600303,Macapá,"0,733","0,723","0,82","0,663"
2609006,Macaparana,"0,609","0,571","0,778","0,508"
2919702,Macarani,"0,605","0,607","0,782","0,466"
3528007,Macatuba,"0,77","0,763","0,859","0,697"
2407203,Macau,"0,665","0,65","0,792","0,572"
3528106,Macaubal,"0,743","0,72","0,844","0,676"
2919801,Macaúbas,"0,609","0,557","0,791","0,513"
3528205,Macedônia,"0,74","0,705","0,852","0,675"
2704302,Maceió,"0,721","0,739","0,799","0,635"
3138906,Machacalis,"0,64","0,607","0,783","0,552"
4311700,Machadinho,"0,692","0,711","0,807","0,577"
1100130,Machadinho D'Oeste,"0,596","0,629","0,755","0,446"
3139003,Machado,"0,715","0,719","0,848","0,6"
2609105,Machados,"0,578","0,541","0,767","0,466"
4210050,Macieira,"0,662","0,675","0,806","0,533"
3302452,Macuco,"0,703","0,687","0,801","0,631"
2919900,Macururé,"0,604","0,547","0,748","0,539"
2307635,Madalena,"0,61","0,536","0,778","0,545"
2205854,Madeiro,"0,563","0,472","0,772","0,489"
2919926,Madre de Deus,"0,708","0,67","0,794","0,667"
3139102,Madre de Deus de Minas,"0,699","0,667","0,856","0,598"
2508703,Mãe D'Água,"0,542","0,52","0,712","0,429"
1504059,Mãe do Rio,"0,599","0,615","0,763","0,458"
2919959,Maetinga,"0,538","0,565","0,751","0,368"
4210100,Mafra,"0,777","0,738","0,88","0,723"
1504109,Magalhães Barata,"0,597","0,524","0,801","0,507"
2106300,Magalhães de Almeida,"0,567","0,502","0,729","0,499"
3528304,Magda,"0,753","0,724","0,823","0,717"
3302502,Magé,"0,709","0,685","0,832","0,626"
2920007,Maiquinique,"0,576","0,586","0,69","0,472"
2920106,Mairi,"0,572","0,575","0,744","0,438"
3528403,Mairinque,"0,743","0,721","0,831","0,684"
3528502,Mairiporã,"0,788","0,767","0,881","0,723"
5212600,Mairipotaba,"0,745","0,748","0,854","0,648"
4210209,Major Gercino,"0,698","0,738","0,818","0,563"
2704401,Major Isidoro,"0,566","0,566","0,755","0,424"
2407252,Major Sales,"0,617","0,573","0,774","0,529"
4210308,Major Vieira,"0,69","0,653","0,817","0,617"
3139201,Malacacheta,"0,618","0,609","0,768","0,505"
2920205,Malhada,"0,562","0,532","0,734","0,454"
2920304,Malhada de Pedras,"0,578","0,549","0,747","0,471"
2803807,Malhada dos Bois,"0,599","0,56","0,722","0,531"
2803906,Malhador,"0,587","0,587","0,781","0,442"
4113908,Mallet,"0,708","0,681","0,809","0,645"
2508802,Malta,"0,642","0,62","0,8","0,533"
2508901,Mamanguape,"0,585","0,585","0,756","0,453"
5212709,Mambaí,"0,626","0,61","0,816","0,494"
4114005,Mamborê,"0,719","0,698","0,821","0,649"
3139250,Mamonas,"0,618","0,565","0,779","0,537"
4311734,Mampituba,"0,649","0,65","0,813","0,517"
1302504,Manacapuru,"0,614","0,604","0,795","0,481"
2509008,Manaíra,"0,543","0,537","0,698","0,426"
1302553,Manaquiri,"0,596","0,556","0,748","0,51"
2609154,Manari,"0,487","0,477","0,682","0,354"
1302603,Manaus,"0,737","0,738","0,826","0,658"
1200336,Mâncio Lima,"0,625","0,58","0,77","0,546"
4114104,Mandaguaçu,"0,718","0,717","0,825","0,625"
4114203,Mandaguari,"0,751","0,732","0,84","0,689"
4114302,Mandirituba,"0,655","0,677","0,807","0,515"
3528601,Manduri,"0,739","0,73","0,818","0,675"
4114351,Manfrinópolis,"0,645","0,642","0,805","0,52"
3139300,Manga,"0,642","0,624","0,799","0,53"
3302601,Mangaratiba,"0,753","0,746","0,845","0,676"
4114401,Mangueirinha,"0,688","0,695","0,811","0,579"
3139409,Manhuaçu,"0,689","0,692","0,839","0,563"
3139508,Manhumirim,"0,697","0,679","0,846","0,589"
1302702,Manicoré,"0,582","0,58","0,747","0,456"
2205904,Manoel Emídio,"0,573","0,534","0,758","0,466"
4114500,Manoel Ribas,"0,716","0,725","0,806","0,628"
1200344,Manoel Urbano,"0,551","0,586","0,767","0,373"
4311759,Manoel Viana,"0,655","0,686","0,766","0,534"
2920403,Manoel Vitorino,"0,566","0,538","0,741","0,456"
2920452,Mansidão,"0,599","0,503","0,752","0,568"
3139607,Mantena,"0,675","0,666","0,803","0,575"
3203304,Mantenópolis,"0,657","0,636","0,81","0,551"
4311775,Maquiné,"0,682","0,695","0,88","0,519"
1302801,Maraã,"0,498","0,466","0,763","0,348"
1504208,Marabá,"0,668","0,673","0,785","0,564"
3528700,Marabá Paulista,"0,677","0,65","0,809","0,591"
2106326,Maracaçumé,"0,582","0,546","0,719","0,501"
3528809,Maracaí,"0,771","0,711","0,85","0,758"
4210407,Maracajá,"0,768","0,752","0,861","0,699"
5005400,Maracaju,"0,736","0,744","0,873","0,613"
1504307,Maracanã,"0,57","0,534","0,764","0,454"
2307650,Maracanaú,"0,686","0,617","0,788","0,665"
2920502,Maracás,"0,607","0,577","0,747","0,519"
2704500,Maragogi,"0,574","0,556","0,766","0,443"
2920601,Maragogipe,"0,621","0,582","0,793","0,518"
2609204,Maraial,"0,534","0,541","0,698","0,403"
2106359,Marajá do Sena,"0,452","0,4","0,774","0,299"
2307700,Maranguape,"0,659","0,587","0,788","0,618"
2106375,Maranhãozinho,"0,55","0,497","0,719","0,465"
1504406,Marapanim,"0,609","0,57","0,76","0,521"
3528858,Marapoama,"0,752","0,736","0,852","0,679"
5212808,Mara Rosa,"0,691","0,68","0,838","0,579"
4311791,Maratá,"0,697","0,729","0,862","0,54"
3203320,Marataízes,"0,696","0,676","0,847","0,588"
2920700,Maraú,"0,593","0,643","0,801","0,404"
4311809,Marau,"0,774","0,773","0,857","0,699"
2704609,Maravilha,"0,569","0,539","0,742","0,46"
4210506,Maravilha,"0,781","0,758","0,886","0,708"
3139706,Maravilhas,"0,672","0,645","0,845","0,558"
2509057,Marcação,"0,529","0,525","0,691","0,408"
5105580,Marcelândia,"0,701","0,7","0,813","0,604"
4311908,Marcelino Ramos,"0,724","0,735","0,834","0,618"
2407302,Marcelino Vieira,"0,609","0,571","0,776","0,51"
2920809,Marcionílio Souza,"0,561","0,518","0,737","0,463"
2307809,Marco,"0,612","0,564","0,734","0,553"
2205953,Marcolândia,"0,562","0,578","0,7","0,438"
2206001,Marcos Parente,"0,59","0,58","0,717","0,494"
3139805,Mar de Espanha,"0,684","0,694","0,825","0,558"
4114609,Marechal Cândido Rondon,"0,774","0,782","0,842","0,704"
2704708,Marechal Deodoro,"0,642","0,641","0,793","0,52"
3203346,Marechal Floriano,"0,71","0,715","0,849","0,589"
1200351,Marechal Thaumaturgo,"0,501","0,479","0,726","0,361"
4210555,Marema,"0,743","0,748","0,862","0,636"
2509107,Mari,"0,548","0,553","0,692","0,429"
3139904,Maria da Fé,"0,702","0,646","0,842","0,637"
4114708,Maria Helena,"0,703","0,68","0,842","0,607"
4114807,Marialva,"0,735","0,733","0,814","0,666"
3140001,Mariana,"0,742","0,705","0,874","0,664"
4311981,Mariana Pimentel,"0,701","0,701","0,866","0,568"
4312005,Mariano Moro,"0,73","0,763","0,843","0,604"
1712504,Marianópolis do Tocantins,"0,631","0,63","0,792","0,504"
3528908,Mariápolis,"0,718","0,684","0,83","0,651"
2704807,Maribondo,"0,597","0,581","0,751","0,487"
3302700,Maricá,"0,765","0,761","0,85","0,692"
3140100,Marilac,"0,615","0,609","0,781","0,488"
3203353,Marilândia,"0,696","0,668","0,823","0,612"
4114906,Marilândia do Sul,"0,691","0,664","0,831","0,599"
4115002,Marilena,"0,681","0,651","0,828","0,585"
3529005,Marília,"0,798","0,768","0,854","0,776"
4115101,Mariluz,"0,639","0,653","0,794","0,504"
4115200,Maringá,"0,808","0,806","0,852","0,768"
3529104,Marinópolis,"0,731","0,681","0,825","0,694"
3140159,Mário Campos,"0,699","0,68","0,833","0,604"
4115309,Mariópolis,"0,698","0,717","0,804","0,591"
4115358,Maripá,"0,758","0,736","0,866","0,684"
3140209,Maripá de Minas,"0,68","0,668","0,847","0,555"
1504422,Marituba,"0,676","0,621","0,793","0,628"
2509156,Marizópolis,"0,608","0,582","0,753","0,512"
3140308,Marliéria,"0,657","0,629","0,838","0,537"
4115408,Marmeleiro,"0,722","0,73","0,842","0,613"
3140407,Marmelópolis,"0,65","0,615","0,806","0,553"
4312054,Marques de Souza,"0,687","0,743","0,849","0,515"
4115457,Marquinho,"0,614","0,615","0,814","0,463"
3140506,Martinho Campos,"0,669","0,688","0,844","0,515"
2307908,Martinópole,"0,599","0,541","0,76","0,522"
3529203,Martinópolis,"0,721","0,703","0,832","0,641"
2407401,Martins,"0,622","0,58","0,772","0,538"
3140530,Martins Soares,"0,635","0,619","0,809","0,512"
2804003,Maruim,"0,618","0,59","0,781","0,511"
4115507,Marumbi,"0,721","0,705","0,826","0,643"
2704906,Mar Vermelho,"0,577","0,54","0,766","0,465"
5212907,Marzagão,"0,699","0,692","0,822","0,601"
2920908,Mascote,"0,581","0,567","0,744","0,464"
2308005,Massapê,"0,616","0,541","0,778","0,554"
2206050,Massapê do Piauí,"0,525","0,514","0,73","0,386"
2509206,Massaranduba,"0,567","0,552","0,747","0,441"
4210605,Massaranduba,"0,774","0,749","0,867","0,714"
4312104,Mata,"0,656","0,66","0,807","0,529"
2921005,Mata de São João,"0,668","0,648","0,818","0,562"
2705002,Mata Grande,"0,504","0,506","0,685","0,369"
3529302,Matão,"0,773","0,766","0,847","0,713"
2509305,Mataraca,"0,536","0,533","0,675","0,427"
2106409,Mata Roma,"0,57","0,483","0,776","0,494"
3140555,Mata Verde,"0,581","0,581","0,749","0,45"
1712702,Mateiros,"0,607","0,586","0,823","0,463"
4115606,Matelândia,"0,725","0,715","0,831","0,642"
3140605,Materlândia,"0,597","0,557","0,769","0,497"
3140704,Mateus Leme,"0,704","0,688","0,839","0,604"
3171501,Mathias Lobato,"0,612","0,596","0,795","0,483"
3140803,Matias Barbosa,"0,72","0,703","0,862","0,616"
3140852,Matias Cardoso,"0,616","0,584","0,799","0,501"
2206100,Matias Olímpio,"0,562","0,521","0,779","0,438"
2921054,Matina,"0,572","0,538","0,74","0,469"
2106508,Matinha,"0,619","0,579","0,731","0,56"
2509339,Matinhas,"0,541","0,531","0,747","0,4"
4115705,Matinhos,"0,743","0,743","0,834","0,662"
3140902,Matipó,"0,631","0,63","0,78","0,511"
4312138,Mato Castelhano,"0,727","0,752","0,839","0,608"
2106607,Matões,"0,55","0,519","0,739","0,434"
2106631,Matões do Norte,"0,533","0,452","0,768","0,436"
2509370,Mato Grosso,"0,565","0,566","0,76","0,419"
4312153,Mato Leitão,"0,746","0,721","0,853","0,676"
4312179,Mato Queimado,"0,717","0,702","0,87","0,603"
4115739,Mato Rico,"0,632","0,58","0,812","0,536"
4210704,Matos Costa,"0,657","0,63","0,831","0,541"
3141009,Mato Verde,"0,662","0,604","0,789","0,61"
3141108,Matozinhos,"0,731","0,69","0,864","0,654"
5212956,Matrinchã,"0,679","0,651","0,84","0,572"
2705101,Matriz de Camaragibe,"0,584","0,541","0,777","0,473"
5105606,Matupá,"0,716","0,706","0,824","0,631"
2509396,Maturéia,"0,572","0,54","0,73","0,474"
3141207,Matutina,"0,707","0,744","0,859","0,552"
3529401,Mauá,"0,766","0,721","0,852","0,733"
4115754,Mauá da Serra,"0,652","0,661","0,793","0,529"
1302900,Maués,"0,588","0,549","0,8","0,464"
5213004,Maurilândia,"0,677","0,682","0,823","0,554"
1712801,Maurilândia do Tocantins,"0,58","0,542","0,724","0,498"
2308104,Mauriti,"0,605","0,544","0,772","0,526"
2407500,Maxaranguape,"0,608","0,582","0,764","0,506"
4312203,Maximiliano de Almeida,"0,699","0,699","0,825","0,591"
1600402,Mazagão,"0,592","0,609","0,758","0,449"
3141306,Medeiros,"0,711","0,722","0,851","0,584"
2921104,Medeiros Neto,"0,625","0,626","0,777","0,501"
4115804,Medianeira,"0,763","0,762","0,849","0,686"
1504455,Medicilândia,"0,582","0,605","0,8","0,408"
3141405,Medina,"0,624","0,624","0,821","0,475"
4210803,Meleiro,"0,738","0,734","0,808","0,679"
1504505,Melgaço,"0,418","0,454","0,776","0,207"
3302809,Mendes,"0,736","0,707","0,806","0,7"
3141504,Mendes Pimentel,"0,626","0,617","0,768","0,518"
3529500,Mendonça,"0,744","0,72","0,863","0,663"
4115853,Mercedes,"0,74","0,708","0,843","0,68"
3141603,Mercês,"0,664","0,683","0,831","0,515"
3529609,Meridiano,"0,731","0,717","0,817","0,667"
2308203,Meruoca,"0,618","0,559","0,761","0,554"
3529658,Mesópolis,"0,724","0,674","0,847","0,666"
3141702,Mesquita,"0,656","0,638","0,796","0,555"
3302858,Mesquita,"0,737","0,704","0,839","0,678"
2705200,Messias,"0,568","0,557","0,714","0,46"
2407609,Messias Targino,"0,644","0,608","0,779","0,565"
2206209,Miguel Alves,"0,539","0,533","0,742","0,396"
2921203,Miguel Calmon,"0,586","0,571","0,745","0,472"
2206308,Miguel Leão,"0,623","0,579","0,782","0,533"
3529708,Miguelópolis,"0,741","0,712","0,863","0,661"
3302908,Miguel Pereira,"0,745","0,74","0,828","0,675"
2308302,Milagres,"0,628","0,561","0,777","0,569"
2921302,Milagres,"0,622","0,59","0,789","0,518"
2106672,Milagres do Maranhão,"0,527","0,465","0,764","0,413"
2308351,Milhã,"0,626","0,56","0,784","0,558"
2206357,Milton Brandão,"0,508","0,476","0,772","0,357"
5213053,Mimoso de Goiás,"0,665","0,656","0,825","0,543"
3203403,Mimoso do Sul,"0,67","0,672","0,827","0,541"
5213087,Minaçu,"0,707","0,691","0,803","0,637"
2705309,Minador do Negrão,"0,563","0,541","0,767","0,43"
4312252,Minas do Leão,"0,681","0,743","0,826","0,514"
3141801,Minas Novas,"0,633","0,6","0,802","0,528"
3141900,Minduri,"0,658","0,631","0,805","0,56"
5213103,Mineiros,"0,718","0,753","0,84","0,584"
3529807,Mineiros do Tietê,"0,73","0,719","0,823","0,658"
1101203,Ministro Andreazza,"0,638","0,647","0,776","0,518"
3142007,Mirabela,"0,665","0,596","0,794","0,622"
3529906,Miracatu,"0,697","0,645","0,803","0,655"
3303005,Miracema,"0,713","0,696","0,805","0,646"
1713205,Miracema do Tocantins,"0,684","0,675","0,82","0,579"
2106706,Mirador,"0,545","0,485","0,74","0,451"
4115903,Mirador,"0,68","0,656","0,8","0,599"
3142106,Miradouro,"0,663","0,645","0,827","0,546"
3530003,Mira Estrela,"0,743","0,697","0,806","0,731"
4312302,Miraguaí,"0,725","0,744","0,837","0,613"
3142205,Miraí,"0,68","0,663","0,837","0,567"
2308377,Miraíma,"0,592","0,51","0,778","0,523"
5005608,Miranda,"0,632","0,638","0,782","0,507"
2106755,Miranda do Norte,"0,61","0,55","0,751","0,55"
2609303,Mirandiba,"0,591","0,512","0,769","0,525"
3530102,Mirandópolis,"0,751","0,732","0,869","0,665"
2921401,Mirangaba,"0,542","0,512","0,685","0,454"
1713304,Miranorte,"0,662","0,633","0,804","0,571"
2921450,Mirante,"0,527","0,524","0,722","0,386"
1101302,Mirante da Serra,"0,643","0,673","0,8","0,494"
3530201,Mirante do Paranapanema,"0,724","0,67","0,841","0,674"
4116000,Miraselva,"0,748","0,694","0,854","0,707"
3530300,Mirassol,"0,762","0,748","0,846","0,698"
3530409,Mirassolândia,"0,738","0,704","0,829","0,69"
5105622,Mirassol D'Oeste,"0,704","0,723","0,816","0,592"
3142254,Miravânia,"0,593","0,544","0,781","0,492"
4210852,Mirim Doce,"0,708","0,683","0,821","0,633"
2106805,Mirinzal,"0,622","0,546","0,756","0,582"
4116059,Missal,"0,711","0,714","0,828","0,608"
2308401,Missão Velha,"0,622","0,579","0,754","0,552"
1504604,Mocajuba,"0,575","0,539","0,754","0,467"
3530508,Mococa,"0,762","0,756","0,827","0,709"
4210902,Modelo,"0,76","0,751","0,886","0,659"
3142304,Moeda,"0,638","0,657","0,8","0,494"
3142403,Moema,"0,721","0,703","0,848","0,629"
2509404,Mogeiro,"0,574","0,538","0,732","0,481"
3530607,Mogi das Cruzes,"0,783","0,762","0,851","0,74"
3530706,Mogi Guaçu,"0,774","0,74","0,852","0,736"
3530805,Mogi Mirim,"0,784","0,767","0,879","0,715"
5213400,Moiporá,"0,696","0,652","0,818","0,632"
2804102,Moita Bonita,"0,587","0,596","0,792","0,429"
1504703,Moju,"0,547","0,578","0,757","0,375"
2308500,Mombaça,"0,582","0,549","0,735","0,489"
3530904,Mombuca,"0,719","0,746","0,82","0,607"
2106904,Monção,"0,546","0,499","0,704","0,464"
3531001,Monções,"0,772","0,731","0,814","0,773"
4211009,Mondaí,"0,748","0,728","0,875","0,657"
3531100,Mongaguá,"0,754","0,719","0,854","0,699"
3142502,Monjolos,"0,65","0,612","0,819","0,548"
2206407,Monsenhor Gil,"0,615","0,568","0,781","0,524"
2206506,Monsenhor Hipólito,"0,561","0,591","0,739","0,404"
3142601,Monsenhor Paulo,"0,721","0,682","0,839","0,654"
2308609,Monsenhor Tabosa,"0,61","0,545","0,773","0,538"
2509503,Montadas,"0,59","0,545","0,748","0,505"
3142700,Montalvânia,"0,613","0,586","0,799","0,492"
3203502,Montanha,"0,667","0,679","0,816","0,535"
2407708,Montanhas,"0,557","0,553","0,7","0,447"
4312351,Montauri,"0,764","0,79","0,852","0,662"
1504802,Monte Alegre,"0,589","0,541","0,764","0,495"
2407807,Monte Alegre,"0,609","0,578","0,77","0,507"
5213509,Monte Alegre de Goiás,"0,615","0,592","0,816","0,481"
3142809,Monte Alegre de Minas,"0,674","0,699","0,848","0,516"
2804201,Monte Alegre de Sergipe,"0,553","0,539","0,726","0,431"
2206605,Monte Alegre do Piauí,"0,578","0,531","0,768","0,474"
4312377,Monte Alegre dos Campos,"0,65","0,667","0,822","0,501"
3531209,Monte Alegre do Sul,"0,759","0,752","0,858","0,678"
3531308,Monte Alto,"0,768","0,746","0,859","0,707"
3531407,Monte Aprazível,"0,785","0,781","0,861","0,72"
3142908,Monte Azul,"0,659","0,611","0,811","0,578"
3531506,Monte Azul Paulista,"0,753","0,733","0,843","0,69"
3143005,Monte Belo,"0,688","0,677","0,847","0,567"
4312385,Monte Belo do Sul,"0,752","0,752","0,852","0,663"
4211058,Monte Carlo,"0,643","0,648","0,804","0,511"
3143104,Monte Carmelo,"0,728","0,716","0,868","0,62"
3531605,Monte Castelo,"0,741","0,706","0,814","0,709"
4211108,Monte Castelo,"0,675","0,641","0,826","0,581"
2407906,Monte das Gameleiras,"0,598","0,56","0,752","0,509"
1713601,Monte do Carmo,"0,622","0,608","0,808","0,489"
3143153,Monte Formoso,"0,541","0,523","0,765","0,396"
2509602,Monte Horebe,"0,587","0,579","0,755","0,463"
2509701,Monteiro,"0,628","0,625","0,709","0,558"
3531704,Monteiro Lobato,"0,71","0,692","0,826","0,627"
2705408,Monteirópolis,"0,539","0,497","0,71","0,443"
