Codigo,Espacialidades,IDHM_2010,IDHM_Renda_2010,IDHM_Longevidade_2010,IDHM_Educacao_2010
5100300,Alto Araguaia,"0,704","0,712","0,802","0,612"
4200754,Alto Bela Vista,"0,755","0,734","0,882","0,664"
5100359,Alto Boa Vista,"0,651","0,613","0,803","0,561"
3102050,Alto Caparaó,"0,661","0,666","0,842","0,514"
2400703,Alto do Rodrigues,"0,672","0,647","0,8","0,585"
4300570,Alto Feliz,"0,734","0,74","0,886","0,603"
5100409,Alto Garças,"0,701","0,707","0,835","0,583"
5200555,Alto Horizonte,"0,719","0,709","0,841","0,624"
3153509,Alto Jequitibá,"0,66","0,66","0,787","0,554"
2200301,Alto Longá,"0,585","0,567","0,751","0,47"
4100509,Altônia,"0,721","0,69","0,848","0,641"
5100508,Alto Paraguai,"0,638","0,612","0,784","0,541"
1100403,Alto Paraíso,"0,625","0,664","0,804","0,457"
4128625,Alto Paraíso,"0,678","0,677","0,829","0,556"
5200605,Alto Paraíso de Goiás,"0,713","0,723","0,819","0,611"
4100608,Alto Paraná,"0,696","0,679","0,846","0,587"
2100501,Alto Parnaíba,"0,633","0,683","0,785","0,474"
4100707,Alto Piquiri,"0,676","0,669","0,798","0,578"
3102100,Alto Rio Doce,"0,62","0,595","0,828","0,483"
3200359,Alto Rio Novo,"0,664","0,634","0,815","0,567"
2200400,Altos,"0,614","0,59","0,767","0,512"
2300705,Alto Santo,"0,601","0,563","0,774","0,499"
5100607,Alto Taquari,"0,705","0,736","0,833","0,571"
3501152,Alumínio,"0,766","0,729","0,841","0,732"
1300029,Alvarães,"0,527","0,499","0,778","0,377"
3102209,Alvarenga,"0,592","0,589","0,798","0,441"
3501202,Álvares Florence,"0,728","0,701","0,806","0,683"
3501301,Álvares Machado,"0,758","0,712","0,834","0,732"
3501400,Álvaro de Carvalho,"0,688","0,669","0,805","0,605"
3501509,Alvinlândia,"0,722","0,721","0,791","0,659"
3102308,Alvinópolis,"0,676","0,651","0,822","0,577"
1700707,Alvorada,"0,708","0,677","0,843","0,623"
4300604,Alvorada,"0,699","0,694","0,874","0,564"
3102407,Alvorada de Minas,"0,572","0,57","0,794","0,414"
1100346,Alvorada D'Oeste,"0,643","0,654","0,763","0,534"
2200459,Alvorada do Gurguéia,"0,578","0,52","0,749","0,496"
5200803,Alvorada do Norte,"0,66","0,64","0,819","0,548"
4100806,Alvorada do Sul,"0,708","0,695","0,826","0,617"
1400027,Amajari,"0,484","0,437","0,815","0,319"
5000609,Amambai,"0,673","0,683","0,818","0,546"
1600105,Amapá,"0,642","0,631","0,79","0,532"
2100550,Amapá do Maranhão,"0,52","0,503","0,688","0,406"
4100905,Amaporã,"0,669","0,644","0,785","0,591"
2600906,Amaraji,"0,58","0,575","0,748","0,454"
4300638,Amaral Ferrador,"0,624","0,664","0,802","0,457"
5200829,Amaralina,"0,609","0,569","0,813","0,489"
2200509,Amarante,"0,598","0,574","0,75","0,497"
2100600,Amarante do Maranhão,"0,555","0,541","0,716","0,441"
2901007,Amargosa,"0,625","0,616","0,807","0,492"
1300060,Amaturá,"0,56","0,499","0,773","0,455"
2901106,Amélia Rodrigues,"0,666","0,609","0,81","0,6"
2901155,América Dourada,"0,561","0,506","0,751","0,464"
3501608,Americana,"0,811","0,8","0,876","0,76"
5200852,Americano do Brasil,"0,7","0,669","0,813","0,631"
3501707,Américo Brasiliense,"0,751","0,709","0,852","0,701"
3501806,Américo de Campos,"0,745","0,715","0,817","0,708"
4300646,Ametista do Sul,"0,682","0,697","0,809","0,562"
2300754,Amontada,"0,606","0,503","0,761","0,582"
5200902,Amorinópolis,"0,681","0,672","0,813","0,579"
2500734,Amparo,"0,606","0,537","0,752","0,551"
3501905,Amparo,"0,785","0,78","0,871","0,711"
2800100,Amparo de São Francisco,"0,611","0,569","0,728","0,55"
3102506,Amparo do Serra,"0,641","0,616","0,811","0,528"
4101002,Ampére,"0,709","0,699","0,824","0,62"
2700201,Anadia,"0,568","0,546","0,756","0,444"
2901205,Anagé,"0,54","0,549","0,771","0,371"
4101051,Anahy,"0,695","0,671","0,844","0,593"
1500701,Anajás,"0,484","0,506","0,774","0,29"
2100709,Anajatuba,"0,581","0,523","0,762","0,492"
3502002,Analândia,"0,754","0,745","0,861","0,668"
1300086,Anamã,"0,594","0,537","0,741","0,526"
1701002,Ananás,"0,671","0,621","0,804","0,605"
1500800,Ananindeua,"0,718","0,684","0,821","0,658"
5201108,Anápolis,"0,737","0,737","0,822","0,66"
1500859,Anapu,"0,548","0,563","0,788","0,371"
2100808,Anapurus,"0,581","0,511","0,764","0,502"
5000708,Anastácio,"0,663","0,663","0,789","0,557"
5000807,Anaurilândia,"0,67","0,676","0,826","0,538"
3200409,Anchieta,"0,73","0,696","0,856","0,654"
4200804,Anchieta,"0,699","0,703","0,8","0,608"
2901304,Andaraí,"0,555","0,54","0,764","0,415"
4101101,Andirá,"0,725","0,69","0,838","0,66"
2901353,Andorinha,"0,588","0,586","0,731","0,474"
3102605,Andradas,"0,734","0,731","0,878","0,617"
3502101,Andradina,"0,779","0,762","0,885","0,702"
4300661,André da Rocha,"0,72","0,738","0,837","0,605"
3102803,Andrelândia,"0,7","0,675","0,818","0,621"
3502200,Angatuba,"0,719","0,693","0,827","0,648"
3102852,Angelândia,"0,597","0,594","0,756","0,473"
5000856,Angélica,"0,697","0,692","0,839","0,582"
2601003,Angelim,"0,572","0,555","0,751","0,448"
4200903,Angelina,"0,687","0,699","0,797","0,581"
2901403,Angical,"0,625","0,564","0,778","0,556"
2200608,Angical do Piauí,"0,63","0,61","0,737","0,555"
1701051,Angico,"0,648","0,576","0,773","0,612"
2400802,Angicos,"0,624","0,606","0,756","0,53"
3300100,Angra dos Reis,"0,724","0,74","0,846","0,605"
2901502,Anguera,"0,589","0,565","0,766","0,471"
4101150,Ângulo,"0,721","0,705","0,827","0,644"
5201207,Anhanguera,"0,725","0,724","0,802","0,657"
3502309,Anhembi,"0,721","0,681","0,863","0,637"
3502408,Anhumas,"0,741","0,683","0,845","0,706"
5201306,Anicuns,"0,714","0,695","0,834","0,627"
2200707,Anísio de Abreu,"0,594","0,534","0,768","0,512"
4201000,Anita Garibaldi,"0,688","0,667","0,826","0,592"
4201109,Anitápolis,"0,674","0,699","0,836","0,524"
1300102,Anori,"0,561","0,54","0,757","0,433"
4300703,Anta Gorda,"0,74","0,742","0,868","0,63"
2901601,Antas,"0,592","0,573","0,739","0,491"
4101200,Antonina,"0,687","0,686","0,838","0,564"
2300804,Antonina do Norte,"0,599","0,55","0,772","0,506"
2200806,Antônio Almeida,"0,62","0,579","0,781","0,527"
2901700,Antônio Cardoso,"0,561","0,544","0,768","0,422"
3102902,Antônio Carlos,"0,683","0,65","0,838","0,584"
4201208,Antônio Carlos,"0,749","0,768","0,89","0,615"
3103009,Antônio Dias,"0,645","0,624","0,849","0,507"
2901809,Antônio Gonçalves,"0,598","0,58","0,741","0,498"
5000906,Antônio João,"0,643","0,633","0,799","0,526"
2400901,Antônio Martins,"0,578","0,554","0,76","0,458"
4101309,Antônio Olinto,"0,656","0,626","0,825","0,547"
4300802,Antônio Prado,"0,758","0,777","0,835","0,671"
3103108,Antônio Prado de Minas,"0,684","0,674","0,83","0,572"
2500775,Aparecida,"0,578","0,567","0,747","0,456"
3502507,Aparecida,"0,755","0,735","0,828","0,706"
5201405,Aparecida de Goiânia,"0,718","0,716","0,834","0,62"
3502606,Aparecida D'Oeste,"0,721","0,697","0,804","0,67"
5201454,Aparecida do Rio Doce,"0,693","0,7","0,814","0,583"
1701101,Aparecida do Rio Negro,"0,651","0,593","0,791","0,588"
5001003,Aparecida do Taboado,"0,697","0,717","0,804","0,588"
3300159,Aperibé,"0,692","0,67","0,785","0,631"
3200508,Apiacá,"0,673","0,659","0,841","0,549"
5100805,Apiacás,"0,675","0,666","0,809","0,57"
3502705,Apiaí,"0,71","0,662","0,835","0,647"
